21   101  	100 90 
98   101  	50 80 
55   101  	25 85 
96   101  	47 45 
14   101  	88 85 
56   101  	64 95 
13   101  	78 66 
25   101  	49 42 
51   101  	79 95 
74   101  	78 23 
50   101  	77 85 
52   101  	47 59 
73   101  	94 75 
28   101  	90 100 
86   101  	92 78 
68   101  	87 56 
89   101  	72 69 
77   101  	88 90 
63   101  	50 50 
91   101  	97 91 
83   101  	93 82 
35   101  	78 95 
76   101  	77 85 
90   101  	45 33 
16   101  	40 60 
93   102  	100 40 
84   102  	57 45 
32   102  	42 62 
58   102  	45 72 
10   102  	55 93 
75   102  	65 62 
11   102  	85 96 
22   102  	44 66 
81   102  	97 85 
12   102  	20 45 
92   102  	23 35 
24   102  	46 75 
85   102  	53 55 
82   102  	80 78 
61   102  	30 50 
36   102  	48 76 
29   102  	42 52 
30   102  	55 56 
99   102  	98 62 
78   102  	61 99 
52   102  	34 87 
31   102  	90 90 
45   102  	48 90 
41   102  	100 20 
19   102  	45 50 
